model,suite,base_group,rows,freshness
meta-llama--Llama-4-Scout-17B-16E-Instruct,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3-70B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3-70B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3-8B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3-8B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3.1-405B-Instruct,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3.1-405B-Instruct,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3.1-70B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3.1-70B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3.1-8B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
meta-llama--Meta-Llama-3.1-8B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
microsoft--Phi-3-medium-128k-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
microsoft--Phi-3-medium-128k-instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
microsoft--Phi-3-mini-128k-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
microsoft--Phi-3-mini-128k-instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
microsoft--Phi-3-small-128k-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
microsoft--Phi-3-small-128k-instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
microsoft--Phi-3.5-mini-instruct,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
microsoft--Phi-3.5-mini-instruct,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
microsoft--Phi-3.5-mini-instruct,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
microsoft--Phi-3.5-mini-instruct,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
microsoft--phi-4,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
microsoft--phi-4,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
microsoft--wavecoder-ultra-6.7b,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
microsoft--wavecoder-ultra-6.7b,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
migtissera--Llama-3-70B-Synthia-v3.5,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
migtissera--Llama-3-70B-Synthia-v3.5,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
migtissera--Tess-v2.5.2-Qwen2-72B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
migtissera--Tess-v2.5.2-Qwen2-72B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
mistral-large-2402,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
mistral-large-2402,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
mistral-small-2402,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
mistral-small-2402,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
mistralai--Codestral-22B-v0.1,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
mistralai--Codestral-22B-v0.1,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
mistralai--Mistral-7B-Instruct-v0.3,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
mistralai--Mistral-7B-Instruct-v0.3,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
mistralai--Mistral-Large-Instruct-2407,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
mistralai--Mistral-Large-Instruct-2407,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
mistralai--Mistral-Small-24B-Instruct-2501,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
mistralai--Mistral-Small-24B-Instruct-2501,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
mistralai--Mistral-Small-Instruct-2409,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
mistralai--Mistral-Small-Instruct-2409,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
mistralai--Mixtral-8x22B-Instruct-v0.1,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
mistralai--Mixtral-8x22B-Instruct-v0.1,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
mistralai--mamba-codestral-7B-v0.1,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
mistralai--mamba-codestral-7B-v0.1,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
new-deepseek-chat,bigcodebench-complete,deepseek/deepseek-v3-chat,2280,v0.2.5 published 2025-04-11
new-deepseek-chat,bigcodebench-instruct,deepseek/deepseek-v3-chat,2280,v0.2.5 published 2025-04-11
nv-mistralai--Mistral-Nemo-12B-Instruct,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
nv-mistralai--Mistral-Nemo-12B-Instruct,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
nvidia--Llama-3.1-Nemotron-70B-Instruct-HF,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
nvidia--Llama-3.1-Nemotron-70B-Instruct-HF,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
o1-2024-12-17--high--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
o1-2024-12-17--high--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
o1-2024-12-17--low--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
o1-2024-12-17--low--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
o1-2024-12-17--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
o1-2024-12-17--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
o1-mini-2024-09-12,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
o1-mini-2024-09-12,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
o1-preview-2024-09-12,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
o1-preview-2024-09-12,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
o3-mini-2025-01-31--high--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
o3-mini-2025-01-31--high--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
o3-mini-2025-01-31--low--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
o3-mini-2025-01-31--low--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
o3-mini-2025-01-31--medium--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
o3-mini-2025-01-31--medium--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
openchat--openchat-3.6-8b-20240522,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
openchat--openchat-3.6-8b-20240522,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
openrouter--optimus-alpha--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
openrouter--optimus-alpha--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
openrouter--quasar-alpha--main,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
openrouter--quasar-alpha--main,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
qwen-max-latest--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
qwen-max-latest--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
wyt2000--InverseCoder-CL-13B,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
wyt2000--InverseCoder-CL-13B,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
wyt2000--InverseCoder-CL-7B,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
wyt2000--InverseCoder-CL-7B,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
wyt2000--InverseCoder-DS-6.7B,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
wyt2000--InverseCoder-DS-6.7B,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
yi-large,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
yi-large,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
